college	year	percent
COAS	2001	47.91666667
COAS	2002	48.22546973
COAS	2003	41.24559342
COAS	2004	39.07894737
COAS	2006	40.22988506
COAS	2007	38.70246085
COAS	2008	36.51911469
COAS	2009	36.24365482
COAS	2010	34.25414365
CCB	2001	94.28571429
CCB	2002	73.42995169
CCB	2003	65.88785047
CCB	2004	61
CCB	2006	62.52427184
CCB	2007	60.96654275
CCB	2008	58.26771654
CCB	2009	57.55813953
CCB	2010	57.6309795
COE	2001	67.39130435
COE	2002	54.20560748
COE	2003	55.81395349
COE	2004	56.89655172
COE	2006	59.3220339
COE	2007	56.27376426
COE	2008	53.25203252
COE	2009	56.93779904
COE	2010	51.44508671
CON	2001	71.42857143
CON	2002	86.53846154
CON	2003	79.06976744
CON	2004	74.57627119
CON	2006	79
CON	2007	88.8
CON	2008	88.23529412
CON	2009	81.1965812
CON	2010	85.84070796
CVPA	2001	66.66666667
CVPA	2002	82.10526316
CVPA	2003	64.38356164
CVPA	2004	60.92715232
CVPA	2006	58.64197531
CVPA	2007	58.18181818
CVPA	2008	58.66666667
CVPA	2009	63.63636364
CVPA	2010	55.83333333
